index    prog_name    min_heap    init_heap    max_heap    gc_name
259    bh    64.0    160.0    512.0    UseSerialGC
260    bh    64.0    192.0    512.0    UseSerialGC
261    bh    64.0    224.0    512.0    UseSerialGC
262    bh    64.0    256.0    512.0    UseSerialGC
263    bh    64.0    512.0    512.0    UseSerialGC
264    bh    96.0    16.0    16.0    UseG1GC
265    bh    96.0    16.0    32.0    UseConcMarkSweepGC
266    bh    96.0    32.0    32.0    UseG1GC
267    bh    96.0    16.0    48.0    UseG1GC
268    bh    96.0    32.0    48.0    UseG1GC
269    bh    96.0    48.0    48.0    UseG1GC
270    bh    96.0    16.0    64.0    UseG1GC
271    bh    96.0    32.0    64.0    UseG1GC
272    bh    96.0    48.0    64.0    UseG1GC
273    bh    96.0    64.0    64.0    UseG1GC
274    bh    96.0    16.0    96.0    UseG1GC
275    bh    96.0    32.0    96.0    UseG1GC
276    bh    96.0    48.0    96.0    UseG1GC
277    bh    96.0    64.0    96.0    UseG1GC
278    bh    96.0    96.0    96.0    UseG1GC
279    bh    96.0    16.0    128.0    UseConcMarkSweepGC
280    bh    96.0    32.0    128.0    UseConcMarkSweepGC
281    bh    96.0    48.0    128.0    UseConcMarkSweepGC
282    bh    96.0    64.0    128.0    UseConcMarkSweepGC
283    bh    96.0    96.0    128.0    UseConcMarkSweepGC
284    bh    96.0    128.0    128.0    UseSerialGC
285    bh    96.0    16.0    160.0    UseConcMarkSweepGC
286    bh    96.0    32.0    160.0    UseConcMarkSweepGC
287    bh    96.0    48.0    160.0    UseConcMarkSweepGC
288    bh    96.0    64.0    160.0    UseConcMarkSweepGC
289    bh    96.0    96.0    160.0    UseConcMarkSweepGC
290    bh    96.0    128.0    160.0    UseSerialGC
291    bh    96.0    160.0    160.0    UseSerialGC
292    bh    96.0    16.0    192.0    UseSerialGC
293    bh    96.0    32.0    192.0    UseConcMarkSweepGC
294    bh    96.0    48.0    192.0    UseSerialGC
295    bh    96.0    64.0    192.0    UseConcMarkSweepGC
296    bh    96.0    96.0    192.0    UseConcMarkSweepGC
297    bh    96.0    128.0    192.0    UseSerialGC
298    bh    96.0    160.0    192.0    UseSerialGC
299    bh    96.0    192.0    192.0    UseSerialGC
300    bh    96.0    16.0    224.0    UseConcMarkSweepGC
301    bh    96.0    32.0    224.0    UseConcMarkSweepGC
302    bh    96.0    48.0    224.0    UseConcMarkSweepGC
303    bh    96.0    64.0    224.0    UseConcMarkSweepGC
304    bh    96.0    96.0    224.0    UseConcMarkSweepGC
305    bh    96.0    128.0    224.0    UseSerialGC
306    bh    96.0    160.0    224.0    UseSerialGC
307    bh    96.0    192.0    224.0    UseSerialGC
308    bh    96.0    224.0    224.0    UseSerialGC
309    bh    96.0    16.0    256.0    UseSerialGC
310    bh    96.0    32.0    256.0    UseConcMarkSweepGC
311    bh    96.0    48.0    256.0    UseConcMarkSweepGC
312    bh    96.0    64.0    256.0    UseSerialGC
313    bh    96.0    96.0    256.0    UseConcMarkSweepGC
314    bh    96.0    128.0    256.0    UseSerialGC
315    bh    96.0    160.0    256.0    UseSerialGC
316    bh    96.0    192.0    256.0    UseSerialGC
317    bh    96.0    224.0    256.0    UseSerialGC
318    bh    96.0    256.0    256.0    UseSerialGC
319    bh    96.0    16.0    512.0    UseConcMarkSweepGC
320    bh    96.0    32.0    512.0    UseConcMarkSweepGC
321    bh    96.0    48.0    512.0    UseConcMarkSweepGC
322    bh    96.0    64.0    512.0    UseConcMarkSweepGC
323    bh    96.0    96.0    512.0    UseConcMarkSweepGC
324    bh    96.0    128.0    512.0    UseSerialGC
325    bh    96.0    160.0    512.0    UseSerialGC
326    bh    96.0    192.0    512.0    UseSerialGC
327    bh    96.0    224.0    512.0    UseSerialGC
328    bh    96.0    256.0    512.0    UseSerialGC
329    bh    96.0    512.0    512.0    UseSerialGC
330    bh    128.0    16.0    16.0    UseG1GC
331    bh    128.0    16.0    32.0    UseG1GC
332    bh    128.0    32.0    32.0    UseG1GC
333    bh    128.0    16.0    48.0    UseG1GC
334    bh    128.0    32.0    48.0    UseG1GC
335    bh    128.0    48.0    48.0    UseG1GC
336    bh    128.0    16.0    64.0    UseG1GC
337    bh    128.0    32.0    64.0    UseG1GC
338    bh    128.0    48.0    64.0    UseG1GC
339    bh    128.0    64.0    64.0    UseG1GC
340    bh    128.0    16.0    96.0    UseG1GC
341    bh    128.0    32.0    96.0    UseG1GC
342    bh    128.0    48.0    96.0    UseG1GC
343    bh    128.0    64.0    96.0    UseG1GC
344    bh    128.0    96.0    96.0    UseG1GC
345    bh    128.0    16.0    128.0    UseParNewGC
346    bh    128.0    32.0    128.0    UseParallelGC
347    bh    128.0    48.0    128.0    UseParNewGC
348    bh    128.0    64.0    128.0    UseParallelGC
349    bh    128.0    96.0    128.0    UseG1GC
350    bh    128.0    128.0    128.0    UseG1GC
351    bh    128.0    16.0    160.0    UseConcMarkSweepGC
352    bh    128.0    32.0    160.0    UseConcMarkSweepGC
353    bh    128.0    48.0    160.0    UseConcMarkSweepGC
354    bh    128.0    64.0    160.0    UseConcMarkSweepGC
355    bh    128.0    96.0    160.0    UseConcMarkSweepGC
356    bh    128.0    128.0    160.0    UseConcMarkSweepGC
357    bh    128.0    160.0    160.0    UseSerialGC
358    bh    128.0    16.0    192.0    UseConcMarkSweepGC
359    bh    128.0    32.0    192.0    UseConcMarkSweepGC
360    bh    128.0    48.0    192.0    UseConcMarkSweepGC
361    bh    128.0    64.0    192.0    UseConcMarkSweepGC
362    bh    128.0    96.0    192.0    UseConcMarkSweepGC
363    bh    128.0    128.0    192.0    UseConcMarkSweepGC
364    bh    128.0    160.0    192.0    UseSerialGC
365    bh    128.0    192.0    192.0    UseSerialGC
366    bh    128.0    16.0    224.0    UseSerialGC
367    bh    128.0    32.0    224.0    UseConcMarkSweepGC
368    bh    128.0    48.0    224.0    UseConcMarkSweepGC
369    bh    128.0    64.0    224.0    UseConcMarkSweepGC
370    bh    128.0    96.0    224.0    UseConcMarkSweepGC
371    bh    128.0    128.0    224.0    UseConcMarkSweepGC
372    bh    128.0    160.0    224.0    UseSerialGC
373    bh    128.0    192.0    224.0    UseSerialGC
374    bh    128.0    224.0    224.0    UseSerialGC
375    bh    128.0    16.0    256.0    UseConcMarkSweepGC
376    bh    128.0    32.0    256.0    UseConcMarkSweepGC
377    bh    128.0    48.0    256.0    UseConcMarkSweepGC
378    bh    128.0    64.0    256.0    UseConcMarkSweepGC
379    bh    128.0    96.0    256.0    UseConcMarkSweepGC
380    bh    128.0    128.0    256.0    UseConcMarkSweepGC
381    bh    128.0    160.0    256.0    UseSerialGC
382    bh    128.0    192.0    256.0    UseSerialGC
383    bh    128.0    224.0    256.0    UseSerialGC
384    bh    128.0    256.0    256.0    UseSerialGC
385    bh    128.0    16.0    512.0    UseSerialGC
386    bh    128.0    32.0    512.0    UseConcMarkSweepGC
387    bh    128.0    48.0    512.0    UseSerialGC
388    bh    128.0    64.0    512.0    UseConcMarkSweepGC
389    bh    128.0    96.0    512.0    UseConcMarkSweepGC
390    bh    128.0    128.0    512.0    UseConcMarkSweepGC
391    bh    128.0    160.0    512.0    UseSerialGC
392    bh    128.0    192.0    512.0    UseSerialGC
393    bh    128.0    224.0    512.0    UseSerialGC
394    bh    128.0    256.0    512.0    UseSerialGC
395    bh    128.0    512.0    512.0    UseSerialGC
396    bh    160.0    16.0    16.0    UseG1GC
397    bh    160.0    16.0    32.0    UseG1GC
398    bh    160.0    32.0    32.0    UseG1GC
399    bh    160.0    16.0    48.0    UseG1GC
400    bh    160.0    32.0    48.0    UseG1GC
401    bh    160.0    48.0    48.0    UseG1GC
402    bh    160.0    16.0    64.0    UseG1GC
403    bh    160.0    32.0    64.0    UseG1GC
404    bh    160.0    48.0    64.0    UseG1GC
405    bh    160.0    64.0    64.0    UseG1GC
406    bh    160.0    16.0    96.0    UseG1GC
407    bh    160.0    32.0    96.0    UseG1GC
408    bh    160.0    48.0    96.0    UseG1GC
409    bh    160.0    64.0    96.0    UseG1GC
410    bh    160.0    96.0    96.0    UseG1GC
411    bh    160.0    16.0    128.0    UseParNewGC
412    bh    160.0    32.0    128.0    UseG1GC
413    bh    160.0    48.0    128.0    UseSerialGC
414    bh    160.0    64.0    128.0    UseG1GC
415    bh    160.0    96.0    128.0    UseG1GC
416    bh    160.0    128.0    128.0    UseG1GC
417    bh    160.0    16.0    160.0    UseParNewGC
418    bh    160.0    32.0    160.0    UseSerialGC
419    bh    160.0    48.0    160.0    UseParallelGC
420    bh    160.0    64.0    160.0    UseSerialGC
421    bh    160.0    96.0    160.0    UseConcMarkSweepGC
422    bh    160.0    128.0    160.0    UseG1GC
423    bh    160.0    160.0    160.0    UseG1GC
424    bh    160.0    16.0    192.0    UseSerialGC
425    bh    160.0    32.0    192.0    UseConcMarkSweepGC
426    bh    160.0    48.0    192.0    UseConcMarkSweepGC
427    bh    160.0    64.0    192.0    UseConcMarkSweepGC
428    bh    160.0    96.0    192.0    UseConcMarkSweepGC
429    bh    160.0    128.0    192.0    UseConcMarkSweepGC
430    bh    160.0    160.0    192.0    UseSerialGC
431    bh    160.0    192.0    192.0    UseConcMarkSweepGC
432    bh    160.0    16.0    224.0    UseConcMarkSweepGC
433    bh    160.0    32.0    224.0    UseConcMarkSweepGC
434    bh    160.0    48.0    224.0    UseConcMarkSweepGC
435    bh    160.0    64.0    224.0    UseConcMarkSweepGC
436    bh    160.0    96.0    224.0    UseConcMarkSweepGC
437    bh    160.0    128.0    224.0    UseConcMarkSweepGC
438    bh    160.0    160.0    224.0    UseSerialGC
439    bh    160.0    192.0    224.0    UseSerialGC
440    bh    160.0    224.0    224.0    UseSerialGC
441    bh    160.0    16.0    256.0    UseSerialGC
442    bh    160.0    32.0    256.0    UseConcMarkSweepGC
443    bh    160.0    48.0    256.0    UseConcMarkSweepGC
444    bh    160.0    64.0    256.0    UseConcMarkSweepGC
445    bh    160.0    96.0    256.0    UseConcMarkSweepGC
446    bh    160.0    128.0    256.0    UseConcMarkSweepGC
447    bh    160.0    160.0    256.0    UseSerialGC
448    bh    160.0    192.0    256.0    UseSerialGC
449    bh    160.0    224.0    256.0    UseSerialGC
450    bh    160.0    256.0    256.0    UseSerialGC
451    bh    160.0    16.0    512.0    UseSerialGC
452    bh    160.0    32.0    512.0    UseConcMarkSweepGC
453    bh    160.0    48.0    512.0    UseConcMarkSweepGC
454    bh    160.0    64.0    512.0    UseConcMarkSweepGC
455    bh    160.0    96.0    512.0    UseConcMarkSweepGC
456    bh    160.0    128.0    512.0    UseConcMarkSweepGC
457    bh    160.0    160.0    512.0    UseParallelGC
458    bh    160.0    192.0    512.0    UseSerialGC
459    bh    160.0    224.0    512.0    UseSerialGC
460    bh    160.0    256.0    512.0    UseSerialGC
461    bh    160.0    512.0    512.0    UseSerialGC
462    bh    192.0    16.0    16.0    UseG1GC
463    bh    192.0    16.0    32.0    UseG1GC
464    bh    192.0    32.0    32.0    UseG1GC
465    bh    192.0    16.0    48.0    UseG1GC
466    bh    192.0    32.0    48.0    UseG1GC
467    bh    192.0    48.0    48.0    UseG1GC
468    bh    192.0    16.0    64.0    UseG1GC
469    bh    192.0    32.0    64.0    UseG1GC
470    bh    192.0    48.0    64.0    UseG1GC
